alert,risk,riskcode,confidence,cwe,wasc,url,method,param,evidence,description,solution,reference
Cross-Origin-Resource-Policy Header Missing or Invalid,LOW,1,Medium,693,14,https://localhost:8443/benchmark/crypto-Index.html,GET,Cross-Origin-Resource-Policy,,<p>Cross-Origin-Resource-Policy header is an opt-in header designed to counter side-channels attacks like Spectre. Resource should be specifically set as shareable amongst different origins.</p>,"<p>Ensure that the application/web server sets the Cross-Origin-Resource-Policy header appropriately, and that it sets the Cross-Origin-Resource-Policy header to 'same-origin' for all web pages.</p><p>'same-site' is considered as less secured and should be avoided.</p><p>If resources must be shared,",<p>https://developer.mozilla.org/en-US/docs/Web/HTTP/Reference/Headers/Cross-Origin-Embedder-Policy</p>
Cross-Origin-Resource-Policy Header Missing or Invalid,LOW,1,Medium,693,14,https://localhost:8443/benchmark/hash-Index.html,GET,Cross-Origin-Resource-Policy,,<p>Cross-Origin-Resource-Policy header is an opt-in header designed to counter side-channels attacks like Spectre. Resource should be specifically set as shareable amongst different origins.</p>,"<p>Ensure that the application/web server sets the Cross-Origin-Resource-Policy header appropriately, and that it sets the Cross-Origin-Resource-Policy header to 'same-origin' for all web pages.</p><p>'same-site' is considered as less secured and should be avoided.</p><p>If resources must be shared,",<p>https://developer.mozilla.org/en-US/docs/Web/HTTP/Reference/Headers/Cross-Origin-Embedder-Policy</p>
Cross-Origin-Resource-Policy Header Missing or Invalid,LOW,1,Medium,693,14,https://localhost:8443/benchmark/pathtraver-Index.html,GET,Cross-Origin-Resource-Policy,,<p>Cross-Origin-Resource-Policy header is an opt-in header designed to counter side-channels attacks like Spectre. Resource should be specifically set as shareable amongst different origins.</p>,"<p>Ensure that the application/web server sets the Cross-Origin-Resource-Policy header appropriately, and that it sets the Cross-Origin-Resource-Policy header to 'same-origin' for all web pages.</p><p>'same-site' is considered as less secured and should be avoided.</p><p>If resources must be shared,",<p>https://developer.mozilla.org/en-US/docs/Web/HTTP/Reference/Headers/Cross-Origin-Embedder-Policy</p>
Cross-Origin-Resource-Policy Header Missing or Invalid,LOW,1,Medium,693,14,https://localhost:8443/benchmark/trustbound-Index.html,GET,Cross-Origin-Resource-Policy,,<p>Cross-Origin-Resource-Policy header is an opt-in header designed to counter side-channels attacks like Spectre. Resource should be specifically set as shareable amongst different origins.</p>,"<p>Ensure that the application/web server sets the Cross-Origin-Resource-Policy header appropriately, and that it sets the Cross-Origin-Resource-Policy header to 'same-origin' for all web pages.</p><p>'same-site' is considered as less secured and should be avoided.</p><p>If resources must be shared,",<p>https://developer.mozilla.org/en-US/docs/Web/HTTP/Reference/Headers/Cross-Origin-Embedder-Policy</p>
In Page Banner Information Leak,LOW,1,High,497,13,https://localhost:8443/,GET,,Tomcat/9.0.11,<p>The server returned a version banner string in the response content. Such information leaks may allow attackers to further target specific issues impacting the product and version in use.</p>,"<p>Configure the server to prevent such information leaks. For example:</p><p>Under Tomcat this is done via the ""server"" directive and implementation of custom error pages.</p><p>Under Apache this is done via the ""ServerSignature"" and ""ServerTokens"" directives.</p>",<p>https://owasp.org/www-project-web-security-testing-guide/v41/4-Web_Application_Security_Testing/08-Testing_for_Error_Handling/</p>
In Page Banner Information Leak,LOW,1,High,497,13,https://localhost:8443/robots.txt,GET,,Tomcat/9.0.11,<p>The server returned a version banner string in the response content. Such information leaks may allow attackers to further target specific issues impacting the product and version in use.</p>,"<p>Configure the server to prevent such information leaks. For example:</p><p>Under Tomcat this is done via the ""server"" directive and implementation of custom error pages.</p><p>Under Apache this is done via the ""ServerSignature"" and ""ServerTokens"" directives.</p>",<p>https://owasp.org/www-project-web-security-testing-guide/v41/4-Web_Application_Security_Testing/08-Testing_for_Error_Handling/</p>
In Page Banner Information Leak,LOW,1,High,497,13,https://localhost:8443/sitemap.xml,GET,,Tomcat/9.0.11,<p>The server returned a version banner string in the response content. Such information leaks may allow attackers to further target specific issues impacting the product and version in use.</p>,"<p>Configure the server to prevent such information leaks. For example:</p><p>Under Tomcat this is done via the ""server"" directive and implementation of custom error pages.</p><p>Under Apache this is done via the ""ServerSignature"" and ""ServerTokens"" directives.</p>",<p>https://owasp.org/www-project-web-security-testing-guide/v41/4-Web_Application_Security_Testing/08-Testing_for_Error_Handling/</p>
In Page Banner Information Leak,LOW,1,High,497,13,https://localhost:8443/benchmark/ldapi-00/BenchmarkTest00044,POST,,Tomcat/9.0.11,<p>The server returned a version banner string in the response content. Such information leaks may allow attackers to further target specific issues impacting the product and version in use.</p>,"<p>Configure the server to prevent such information leaks. For example:</p><p>Under Tomcat this is done via the ""server"" directive and implementation of custom error pages.</p><p>Under Apache this is done via the ""ServerSignature"" and ""ServerTokens"" directives.</p>",<p>https://owasp.org/www-project-web-security-testing-guide/v41/4-Web_Application_Security_Testing/08-Testing_for_Error_Handling/</p>
In Page Banner Information Leak,LOW,1,High,497,13,https://localhost:8443/benchmark/securecookie-00/BenchmarkTest00169,POST,,Tomcat/9.0.11,<p>The server returned a version banner string in the response content. Such information leaks may allow attackers to further target specific issues impacting the product and version in use.</p>,"<p>Configure the server to prevent such information leaks. For example:</p><p>Under Tomcat this is done via the ""server"" directive and implementation of custom error pages.</p><p>Under Apache this is done via the ""ServerSignature"" and ""ServerTokens"" directives.</p>",<p>https://owasp.org/www-project-web-security-testing-guide/v41/4-Web_Application_Security_Testing/08-Testing_for_Error_Handling/</p>
Information Disclosure - Debug Error Messages,LOW,1,Medium,1295,13,https://localhost:8443/benchmark/ldapi-00/BenchmarkTest00021?BenchmarkTest00021=Ms+Bar&password=ZAP&username=ZAP,GET,,Internal Server Error,"<p>The response appeared to contain common error messages returned by platforms such as ASP.NET, and Web-servers such as IIS and Apache. You can configure the list of common debug messages.</p>",<p>Disable debugging messages before pushing to production.</p>,
Information Disclosure - Debug Error Messages,LOW,1,Medium,1295,13,https://localhost:8443/benchmark/ldapi-00/BenchmarkTest00367?BenchmarkTest00367=Ms+Bar&password=ZAP&username=ZAP,GET,,Internal Server Error,"<p>The response appeared to contain common error messages returned by platforms such as ASP.NET, and Web-servers such as IIS and Apache. You can configure the list of common debug messages.</p>",<p>Disable debugging messages before pushing to production.</p>,
Information Disclosure - Debug Error Messages,LOW,1,Medium,1295,13,https://localhost:8443/benchmark/cmdi-00/BenchmarkTest00017,POST,,Internal Server Error,"<p>The response appeared to contain common error messages returned by platforms such as ASP.NET, and Web-servers such as IIS and Apache. You can configure the list of common debug messages.</p>",<p>Disable debugging messages before pushing to production.</p>,
Information Disclosure - Debug Error Messages,LOW,1,Medium,1295,13,https://localhost:8443/benchmark/ldapi-00/BenchmarkTest00012,POST,,Internal Server Error,"<p>The response appeared to contain common error messages returned by platforms such as ASP.NET, and Web-servers such as IIS and Apache. You can configure the list of common debug messages.</p>",<p>Disable debugging messages before pushing to production.</p>,
Information Disclosure - Debug Error Messages,LOW,1,Medium,1295,13,https://localhost:8443/benchmark/ldapi-00/BenchmarkTest00044,POST,,Internal Server Error,"<p>The response appeared to contain common error messages returned by platforms such as ASP.NET, and Web-servers such as IIS and Apache. You can configure the list of common debug messages.</p>",<p>Disable debugging messages before pushing to production.</p>,
Information Disclosure - Debug Error Messages,LOW,1,Medium,1295,13,https://localhost:8443/benchmark/ldapi-00/BenchmarkTest00138,POST,,Internal Server Error,"<p>The response appeared to contain common error messages returned by platforms such as ASP.NET, and Web-servers such as IIS and Apache. You can configure the list of common debug messages.</p>",<p>Disable debugging messages before pushing to production.</p>,
Information Disclosure - Debug Error Messages,LOW,1,Medium,1295,13,https://localhost:8443/benchmark/ldapi-00/BenchmarkTest00139,POST,,Internal Server Error,"<p>The response appeared to contain common error messages returned by platforms such as ASP.NET, and Web-servers such as IIS and Apache. You can configure the list of common debug messages.</p>",<p>Disable debugging messages before pushing to production.</p>,
Information Disclosure - Debug Error Messages,LOW,1,Medium,1295,13,https://localhost:8443/benchmark/ldapi-00/BenchmarkTest00530,POST,,Internal Server Error,"<p>The response appeared to contain common error messages returned by platforms such as ASP.NET, and Web-servers such as IIS and Apache. You can configure the list of common debug messages.</p>",<p>Disable debugging messages before pushing to production.</p>,
Information Disclosure - Debug Error Messages,LOW,1,Medium,1295,13,https://localhost:8443/benchmark/securecookie-00/BenchmarkTest00016,POST,,Internal Server Error,"<p>The response appeared to contain common error messages returned by platforms such as ASP.NET, and Web-servers such as IIS and Apache. You can configure the list of common debug messages.</p>",<p>Disable debugging messages before pushing to production.</p>,
Information Disclosure - Debug Error Messages,LOW,1,Medium,1295,13,https://localhost:8443/benchmark/securecookie-00/BenchmarkTest00169,POST,,Internal Server Error,"<p>The response appeared to contain common error messages returned by platforms such as ASP.NET, and Web-servers such as IIS and Apache. You can configure the list of common debug messages.</p>",<p>Disable debugging messages before pushing to production.</p>,
Information Disclosure - Debug Error Messages,LOW,1,Medium,1295,13,https://localhost:8443/benchmark/securecookie-00/BenchmarkTest00170,POST,,Internal Server Error,"<p>The response appeared to contain common error messages returned by platforms such as ASP.NET, and Web-servers such as IIS and Apache. You can configure the list of common debug messages.</p>",<p>Disable debugging messages before pushing to production.</p>,
Information Disclosure - Debug Error Messages,LOW,1,Medium,1295,13,https://localhost:8443/benchmark/securecookie-00/BenchmarkTest00241,POST,,Internal Server Error,"<p>The response appeared to contain common error messages returned by platforms such as ASP.NET, and Web-servers such as IIS and Apache. You can configure the list of common debug messages.</p>",<p>Disable debugging messages before pushing to production.</p>,
Permissions Policy Header Not Set,LOW,1,Medium,693,15,https://localhost:8443/benchmark/cmdi-Index.html,GET,,,<p>Permissions Policy Header is an added layer of security that helps to restrict from unauthorized access or usage of browser/client features by web resources. This policy ensures the user privacy by limiting or specifying the features of the browsers can be used by the web resources. Permissions P,"<p>Ensure that your web server, application server, load balancer, etc. is configured to set the Permissions-Policy header.</p>",<p>https://developer.mozilla.org/en-US/docs/Web/HTTP/Reference/Headers/Permissions-Policy</p><p>https://developer.chrome.com/blog/feature-policy/</p><
Permissions Policy Header Not Set,LOW,1,Medium,693,15,https://localhost:8443/benchmark/crypto-Index.html,GET,,,<p>Permissions Policy Header is an added layer of security that helps to restrict from unauthorized access or usage of browser/client features by web resources. This policy ensures the user privacy by limiting or specifying the features of the browsers can be used by the web resources. Permissions P,"<p>Ensure that your web server, application server, load balancer, etc. is configured to set the Permissions-Policy header.</p>",<p>https://developer.mozilla.org/en-US/docs/Web/HTTP/Reference/Headers/Permissions-Policy</p><p>https://developer.chrome.com/blog/feature-policy/</p><
Permissions Policy Header Not Set,LOW,1,Medium,693,15,https://localhost:8443/benchmark/ldapi-00/BenchmarkTest00044.html?BenchmarkTest00044=SafeText,GET,,,<p>Permissions Policy Header is an added layer of security that helps to restrict from unauthorized access or usage of browser/client features by web resources. This policy ensures the user privacy by limiting or specifying the features of the browsers can be used by the web resources. Permissions P,"<p>Ensure that your web server, application server, load balancer, etc. is configured to set the Permissions-Policy header.</p>",<p>https://developer.mozilla.org/en-US/docs/Web/HTTP/Reference/Headers/Permissions-Policy</p><p>https://developer.chrome.com/blog/feature-policy/</p><
Permissions Policy Header Not Set,LOW,1,Medium,693,15,https://localhost:8443/benchmark/securecookie-00/BenchmarkTest00170.html?BenchmarkTest00170=SafeText,GET,,,<p>Permissions Policy Header is an added layer of security that helps to restrict from unauthorized access or usage of browser/client features by web resources. This policy ensures the user privacy by limiting or specifying the features of the browsers can be used by the web resources. Permissions P,"<p>Ensure that your web server, application server, load balancer, etc. is configured to set the Permissions-Policy header.</p>",<p>https://developer.mozilla.org/en-US/docs/Web/HTTP/Reference/Headers/Permissions-Policy</p><p>https://developer.chrome.com/blog/feature-policy/</p><
Permissions Policy Header Not Set,LOW,1,Medium,693,15,https://localhost:8443/benchmark/trustbound-Index.html,GET,,,<p>Permissions Policy Header is an added layer of security that helps to restrict from unauthorized access or usage of browser/client features by web resources. This policy ensures the user privacy by limiting or specifying the features of the browsers can be used by the web resources. Permissions P,"<p>Ensure that your web server, application server, load balancer, etc. is configured to set the Permissions-Policy header.</p>",<p>https://developer.mozilla.org/en-US/docs/Web/HTTP/Reference/Headers/Permissions-Policy</p><p>https://developer.chrome.com/blog/feature-policy/</p><
Strict-Transport-Security Header Not Set,LOW,1,High,319,15,https://localhost:8443/,GET,,,<p>HTTP Strict Transport Security (HSTS) is a web security policy mechanism whereby a web server declares that complying user agents (such as a web browser) are to interact with it using only secure HTTPS connections (i.e. HTTP layered over TLS/SSL). HSTS is an IETF standards track protocol and is s,"<p>Ensure that your web server, application server, load balancer, etc. is configured to enforce Strict-Transport-Security.</p>",<p>https://cheatsheetseries.owasp.org/cheatsheets/HTTP_Strict_Transport_Security_Cheat_Sheet.html</p><p>https://owasp.org/www-community/Security_Heade
Strict-Transport-Security Header Not Set,LOW,1,High,319,15,https://localhost:8443/robots.txt,GET,,,<p>HTTP Strict Transport Security (HSTS) is a web security policy mechanism whereby a web server declares that complying user agents (such as a web browser) are to interact with it using only secure HTTPS connections (i.e. HTTP layered over TLS/SSL). HSTS is an IETF standards track protocol and is s,"<p>Ensure that your web server, application server, load balancer, etc. is configured to enforce Strict-Transport-Security.</p>",<p>https://cheatsheetseries.owasp.org/cheatsheets/HTTP_Strict_Transport_Security_Cheat_Sheet.html</p><p>https://owasp.org/www-community/Security_Heade
Strict-Transport-Security Header Not Set,LOW,1,High,319,15,https://localhost:8443/sitemap.xml,GET,,,<p>HTTP Strict Transport Security (HSTS) is a web security policy mechanism whereby a web server declares that complying user agents (such as a web browser) are to interact with it using only secure HTTPS connections (i.e. HTTP layered over TLS/SSL). HSTS is an IETF standards track protocol and is s,"<p>Ensure that your web server, application server, load balancer, etc. is configured to enforce Strict-Transport-Security.</p>",<p>https://cheatsheetseries.owasp.org/cheatsheets/HTTP_Strict_Transport_Security_Cheat_Sheet.html</p><p>https://owasp.org/www-community/Security_Heade
Timestamp Disclosure - Unix,LOW,1,Low,497,13,https://localhost:8443/benchmark/weakrand-00/BenchmarkTest00042,POST,,1554576003,<p>A timestamp was disclosed by the application/web server. - Unix</p>,"<p>Manually confirm that the timestamp data is not sensitive, and that the data cannot be aggregated to disclose exploitable patterns.</p>",<p>https://cwe.mitre.org/data/definitions/200.html</p>
Timestamp Disclosure - Unix,LOW,1,Low,497,13,https://localhost:8443/benchmark/weakrand-00/BenchmarkTest00042,POST,Set-Cookie,1554576003,<p>A timestamp was disclosed by the application/web server. - Unix</p>,"<p>Manually confirm that the timestamp data is not sensitive, and that the data cannot be aggregated to disclose exploitable patterns.</p>",<p>https://cwe.mitre.org/data/definitions/200.html</p>
Timestamp Disclosure - Unix,LOW,1,Low,497,13,https://localhost:8443/benchmark/weakrand-00/BenchmarkTest00164,POST,,1880765560,<p>A timestamp was disclosed by the application/web server. - Unix</p>,"<p>Manually confirm that the timestamp data is not sensitive, and that the data cannot be aggregated to disclose exploitable patterns.</p>",<p>https://cwe.mitre.org/data/definitions/200.html</p>
Timestamp Disclosure - Unix,LOW,1,Low,497,13,https://localhost:8443/benchmark/weakrand-00/BenchmarkTest00164,POST,Set-Cookie,1880765560,<p>A timestamp was disclosed by the application/web server. - Unix</p>,"<p>Manually confirm that the timestamp data is not sensitive, and that the data cannot be aggregated to disclose exploitable patterns.</p>",<p>https://cwe.mitre.org/data/definitions/200.html</p>
Timestamp Disclosure - Unix,LOW,1,Low,497,13,https://localhost:8443/benchmark/weakrand-00/BenchmarkTest00235,POST,Set-Cookie,1974211032,<p>A timestamp was disclosed by the application/web server. - Unix</p>,"<p>Manually confirm that the timestamp data is not sensitive, and that the data cannot be aggregated to disclose exploitable patterns.</p>",<p>https://cwe.mitre.org/data/definitions/200.html</p>
Authentication Request Identified,INFORMATIONAL,0,Low,-1,-1,https://localhost:8443/benchmark/hash-00/BenchmarkTest00046?BenchmarkTest00046=someSecret&password=ZAP&username=ZAP,GET,username,password,"<p>The given request has been identified as an authentication request. The 'Other Info' field contains a set of key=value lines which identify any relevant fields. If the request is in a context which has an Authentication Method set to ""Auto-Detect"" then this rule will change the authentication to ",<p>This is an informational alert rather than a vulnerability and so there is nothing to fix.</p>,<p>https://www.zaproxy.org/docs/desktop/addons/authentication-helper/auth-req-id/</p>
Authentication Request Identified,INFORMATIONAL,0,Low,-1,-1,https://localhost:8443/benchmark/ldapi-00/BenchmarkTest00021?BenchmarkTest00021=Ms+Bar&password=ZAP&username=ZAP,GET,username,password,"<p>The given request has been identified as an authentication request. The 'Other Info' field contains a set of key=value lines which identify any relevant fields. If the request is in a context which has an Authentication Method set to ""Auto-Detect"" then this rule will change the authentication to ",<p>This is an informational alert rather than a vulnerability and so there is nothing to fix.</p>,<p>https://www.zaproxy.org/docs/desktop/addons/authentication-helper/auth-req-id/</p>
Authentication Request Identified,INFORMATIONAL,0,Low,-1,-1,https://localhost:8443/benchmark/ldapi-00/BenchmarkTest00367?BenchmarkTest00367=Ms+Bar&password=ZAP&username=ZAP,GET,username,password,"<p>The given request has been identified as an authentication request. The 'Other Info' field contains a set of key=value lines which identify any relevant fields. If the request is in a context which has an Authentication Method set to ""Auto-Detect"" then this rule will change the authentication to ",<p>This is an informational alert rather than a vulnerability and so there is nothing to fix.</p>,<p>https://www.zaproxy.org/docs/desktop/addons/authentication-helper/auth-req-id/</p>
Authentication Request Identified,INFORMATIONAL,0,Low,-1,-1,https://localhost:8443/benchmark/ldapi-00/BenchmarkTest00694?BenchmarkTest00694=Ms+Bar&password=ZAP&username=ZAP,GET,username,password,"<p>The given request has been identified as an authentication request. The 'Other Info' field contains a set of key=value lines which identify any relevant fields. If the request is in a context which has an Authentication Method set to ""Auto-Detect"" then this rule will change the authentication to ",<p>This is an informational alert rather than a vulnerability and so there is nothing to fix.</p>,<p>https://www.zaproxy.org/docs/desktop/addons/authentication-helper/auth-req-id/</p>
Authentication Request Identified,INFORMATIONAL,0,Low,-1,-1,https://localhost:8443/benchmark/trustbound-00/BenchmarkTest00031?BenchmarkTest00031=my_user_id&password=ZAP&username=ZAP,GET,username,password,"<p>The given request has been identified as an authentication request. The 'Other Info' field contains a set of key=value lines which identify any relevant fields. If the request is in a context which has an Authentication Method set to ""Auto-Detect"" then this rule will change the authentication to ",<p>This is an informational alert rather than a vulnerability and so there is nothing to fix.</p>,<p>https://www.zaproxy.org/docs/desktop/addons/authentication-helper/auth-req-id/</p>
Authentication Request Identified,INFORMATIONAL,0,Low,-1,-1,https://localhost:8443/benchmark/xpathi-00/BenchmarkTest00442?BenchmarkTest00442=2222&password=ZAP&username=ZAP,GET,username,password,"<p>The given request has been identified as an authentication request. The 'Other Info' field contains a set of key=value lines which identify any relevant fields. If the request is in a context which has an Authentication Method set to ""Auto-Detect"" then this rule will change the authentication to ",<p>This is an informational alert rather than a vulnerability and so there is nothing to fix.</p>,<p>https://www.zaproxy.org/docs/desktop/addons/authentication-helper/auth-req-id/</p>
Authentication Request Identified,INFORMATIONAL,0,Low,-1,-1,https://localhost:8443/benchmark/crypto-00/BenchmarkTest00050,POST,email,password,"<p>The given request has been identified as an authentication request. The 'Other Info' field contains a set of key=value lines which identify any relevant fields. If the request is in a context which has an Authentication Method set to ""Auto-Detect"" then this rule will change the authentication to ",<p>This is an informational alert rather than a vulnerability and so there is nothing to fix.</p>,<p>https://www.zaproxy.org/docs/desktop/addons/authentication-helper/auth-req-id/</p>
Authentication Request Identified,INFORMATIONAL,0,Low,-1,-1,https://localhost:8443/benchmark/hash-00/BenchmarkTest00022,POST,email,password,"<p>The given request has been identified as an authentication request. The 'Other Info' field contains a set of key=value lines which identify any relevant fields. If the request is in a context which has an Authentication Method set to ""Auto-Detect"" then this rule will change the authentication to ",<p>This is an informational alert rather than a vulnerability and so there is nothing to fix.</p>,<p>https://www.zaproxy.org/docs/desktop/addons/authentication-helper/auth-req-id/</p>
Authentication Request Identified,INFORMATIONAL,0,Low,-1,-1,https://localhost:8443/benchmark/ldapi-00/BenchmarkTest00630,POST,email,password,"<p>The given request has been identified as an authentication request. The 'Other Info' field contains a set of key=value lines which identify any relevant fields. If the request is in a context which has an Authentication Method set to ""Auto-Detect"" then this rule will change the authentication to ",<p>This is an informational alert rather than a vulnerability and so there is nothing to fix.</p>,<p>https://www.zaproxy.org/docs/desktop/addons/authentication-helper/auth-req-id/</p>
Authentication Request Identified,INFORMATIONAL,0,Low,-1,-1,https://localhost:8443/benchmark/ldapi-00/BenchmarkTest00695,POST,email,password,"<p>The given request has been identified as an authentication request. The 'Other Info' field contains a set of key=value lines which identify any relevant fields. If the request is in a context which has an Authentication Method set to ""Auto-Detect"" then this rule will change the authentication to ",<p>This is an informational alert rather than a vulnerability and so there is nothing to fix.</p>,<p>https://www.zaproxy.org/docs/desktop/addons/authentication-helper/auth-req-id/</p>
Authentication Request Identified,INFORMATIONAL,0,Low,-1,-1,https://localhost:8443/benchmark/securecookie-00/BenchmarkTest00348,POST,email,password,"<p>The given request has been identified as an authentication request. The 'Other Info' field contains a set of key=value lines which identify any relevant fields. If the request is in a context which has an Authentication Method set to ""Auto-Detect"" then this rule will change the authentication to ",<p>This is an informational alert rather than a vulnerability and so there is nothing to fix.</p>,<p>https://www.zaproxy.org/docs/desktop/addons/authentication-helper/auth-req-id/</p>
Authentication Request Identified,INFORMATIONAL,0,Low,-1,-1,https://localhost:8443/benchmark/securecookie-00/BenchmarkTest00403,POST,email,password,"<p>The given request has been identified as an authentication request. The 'Other Info' field contains a set of key=value lines which identify any relevant fields. If the request is in a context which has an Authentication Method set to ""Auto-Detect"" then this rule will change the authentication to ",<p>This is an informational alert rather than a vulnerability and so there is nothing to fix.</p>,<p>https://www.zaproxy.org/docs/desktop/addons/authentication-helper/auth-req-id/</p>
Cookie Poisoning,INFORMATIONAL,0,Low,565,20,https://localhost:8443/benchmark/securecookie-00/BenchmarkTest00348,POST,BenchmarkTest00348,,"<p>This check looks at user-supplied input in query string parameters and POST data to identify where cookie parameters might be controlled. This is called a cookie poisoning attack, and becomes exploitable when an attacker can manipulate the cookie in various ways. In some cases this will not be ex","<p>Do not allow user input to control cookie names and values. If some query string parameters must be set in cookie values, be sure to filter out semicolon's that can serve as name/value pair delimiters.</p>",<p>https://en.wikipedia.org/wiki/HTTP_cookie</p><p>https://cwe.mitre.org/data/definitions/565.html</p>
Cookie Poisoning,INFORMATIONAL,0,Low,565,20,https://localhost:8443/benchmark/securecookie-00/BenchmarkTest00403,POST,BenchmarkTest00403,,"<p>This check looks at user-supplied input in query string parameters and POST data to identify where cookie parameters might be controlled. This is called a cookie poisoning attack, and becomes exploitable when an attacker can manipulate the cookie in various ways. In some cases this will not be ex","<p>Do not allow user input to control cookie names and values. If some query string parameters must be set in cookie values, be sure to filter out semicolon's that can serve as name/value pair delimiters.</p>",<p>https://en.wikipedia.org/wiki/HTTP_cookie</p><p>https://cwe.mitre.org/data/definitions/565.html</p>
Cookie Poisoning,INFORMATIONAL,0,Low,565,20,https://localhost:8443/benchmark/securecookie-00/BenchmarkTest00404,POST,BenchmarkTest00404,,"<p>This check looks at user-supplied input in query string parameters and POST data to identify where cookie parameters might be controlled. This is called a cookie poisoning attack, and becomes exploitable when an attacker can manipulate the cookie in various ways. In some cases this will not be ex","<p>Do not allow user input to control cookie names and values. If some query string parameters must be set in cookie values, be sure to filter out semicolon's that can serve as name/value pair delimiters.</p>",<p>https://en.wikipedia.org/wiki/HTTP_cookie</p><p>https://cwe.mitre.org/data/definitions/565.html</p>
Cookie Poisoning,INFORMATIONAL,0,Low,565,20,https://localhost:8443/benchmark/securecookie-00/BenchmarkTest00405,POST,BenchmarkTest00405,,"<p>This check looks at user-supplied input in query string parameters and POST data to identify where cookie parameters might be controlled. This is called a cookie poisoning attack, and becomes exploitable when an attacker can manipulate the cookie in various ways. In some cases this will not be ex","<p>Do not allow user input to control cookie names and values. If some query string parameters must be set in cookie values, be sure to filter out semicolon's that can serve as name/value pair delimiters.</p>",<p>https://en.wikipedia.org/wiki/HTTP_cookie</p><p>https://cwe.mitre.org/data/definitions/565.html</p>
Cookie Poisoning,INFORMATIONAL,0,Low,565,20,https://localhost:8443/benchmark/securecookie-00/BenchmarkTest00655,POST,BenchmarkTest00655,,"<p>This check looks at user-supplied input in query string parameters and POST data to identify where cookie parameters might be controlled. This is called a cookie poisoning attack, and becomes exploitable when an attacker can manipulate the cookie in various ways. In some cases this will not be ex","<p>Do not allow user input to control cookie names and values. If some query string parameters must be set in cookie values, be sure to filter out semicolon's that can serve as name/value pair delimiters.</p>",<p>https://en.wikipedia.org/wiki/HTTP_cookie</p><p>https://cwe.mitre.org/data/definitions/565.html</p>
Information Disclosure - Sensitive Information in URL,INFORMATIONAL,0,Medium,598,13,https://localhost:8443/benchmark/ldapi-00/BenchmarkTest00021?BenchmarkTest00021=Ms+Bar&password=ZAP&username=ZAP,GET,password,password,<p>The request appeared to contain sensitive information leaked in the URL. This can violate PCI and most organizational compliance policies. You can configure the list of strings for this check to add or remove values specific to your environment.</p>,<p>Do not pass sensitive information in URIs.</p>,
Information Disclosure - Sensitive Information in URL,INFORMATIONAL,0,Medium,598,13,https://localhost:8443/benchmark/ldapi-00/BenchmarkTest00021?BenchmarkTest00021=Ms+Bar&password=ZAP&username=ZAP,GET,username,username,<p>The request appeared to contain sensitive information leaked in the URL. This can violate PCI and most organizational compliance policies. You can configure the list of strings for this check to add or remove values specific to your environment.</p>,<p>Do not pass sensitive information in URIs.</p>,
Information Disclosure - Sensitive Information in URL,INFORMATIONAL,0,Medium,598,13,https://localhost:8443/benchmark/trustbound-00/BenchmarkTest00031?BenchmarkTest00031=my_user_id&password=ZAP&username=ZAP,GET,password,password,<p>The request appeared to contain sensitive information leaked in the URL. This can violate PCI and most organizational compliance policies. You can configure the list of strings for this check to add or remove values specific to your environment.</p>,<p>Do not pass sensitive information in URIs.</p>,
Information Disclosure - Sensitive Information in URL,INFORMATIONAL,0,Medium,598,13,https://localhost:8443/benchmark/trustbound-00/BenchmarkTest00031?BenchmarkTest00031=my_user_id&password=ZAP&username=ZAP,GET,username,username,<p>The request appeared to contain sensitive information leaked in the URL. This can violate PCI and most organizational compliance policies. You can configure the list of strings for this check to add or remove values specific to your environment.</p>,<p>Do not pass sensitive information in URIs.</p>,
Information Disclosure - Sensitive Information in URL,INFORMATIONAL,0,Medium,598,13,https://localhost:8443/benchmark/xpathi-00/BenchmarkTest00442?BenchmarkTest00442=2222&password=ZAP&username=ZAP,GET,password,password,<p>The request appeared to contain sensitive information leaked in the URL. This can violate PCI and most organizational compliance policies. You can configure the list of strings for this check to add or remove values specific to your environment.</p>,<p>Do not pass sensitive information in URIs.</p>,
Information Disclosure - Suspicious Comments,INFORMATIONAL,0,Medium,615,13,https://localhost:8443/benchmark/js/testsuiteutils.js,GET,,// FIXME: This is a hack. Th,<p>The response appears to contain suspicious comments which may help an attacker.</p>,<p>Remove all comments that return information that may help an attacker and fix any underlying problems they refer to.</p>,
Modern Web Application,INFORMATIONAL,0,Medium,-1,-1,https://localhost:8443/benchmark/cmdi-00/BenchmarkTest00015.html?BenchmarkTest00015=SafeText,GET,,"<script src=""/benchmark/js/jquery.min.js"" type=""text/javascript""></script>",<p>The application appears to be a modern web application. If you need to explore it automatically then the Ajax Spider may well be more effective than the standard one.</p>,<p>This is an informational alert and so no changes are required.</p>,
Modern Web Application,INFORMATIONAL,0,Medium,-1,-1,https://localhost:8443/benchmark/ldapi-00/BenchmarkTest00012.html?BenchmarkTest00012=SafeText,GET,,"<script src=""/benchmark/js/jquery.min.js"" type=""text/javascript""></script>",<p>The application appears to be a modern web application. If you need to explore it automatically then the Ajax Spider may well be more effective than the standard one.</p>,<p>This is an informational alert and so no changes are required.</p>,
